127.0.0.1 - - [22/Mar/2019:15:33:20 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [22/Mar/2019:15:33:23 +0900] "GET /testgame/ HTTP/1.1" 200 3048
0:0:0:0:0:0:0:1 - - [22/Mar/2019:15:33:23 +0900] "GET /css/Style.css HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [22/Mar/2019:15:33:27 +0900] "POST /testgame/TitleAction.action HTTP/1.1" 200 2775
0:0:0:0:0:0:0:1 - - [22/Mar/2019:15:33:27 +0900] "GET /testgame/WebContent/css/Style.css HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Mar/2019:15:33:32 +0900] "POST /testgame/LoginAction.action HTTP/1.1" 200 3112
0:0:0:0:0:0:0:1 - - [22/Mar/2019:15:33:32 +0900] "GET /testgame/WebContent/css/Style.css HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Mar/2019:15:33:32 +0900] "GET /testgame/img/bg_natural_sougen.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2019:15:52:41 +0900] "POST /testgame/LoginAction.action HTTP/1.1" 200 3112
0:0:0:0:0:0:0:1 - - [22/Mar/2019:15:52:41 +0900] "GET /testgame/WebContent/css/Style.css HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Mar/2019:15:52:41 +0900] "GET /testgame/img/bg_natural_sougen.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2019:15:52:42 +0900] "POST /testgame/LogoutAction.action HTTP/1.1" 200 3048
0:0:0:0:0:0:0:1 - - [22/Mar/2019:15:52:42 +0900] "GET /css/Style.css HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [22/Mar/2019:15:52:42 +0900] "GET /testgame/img/figure_tatakai_kakutou.png HTTP/1.1" 200 58865
0:0:0:0:0:0:0:1 - - [22/Mar/2019:15:52:50 +0900] "POST /testgame/LogoutAction.action HTTP/1.1" 200 3048
0:0:0:0:0:0:0:1 - - [22/Mar/2019:15:52:50 +0900] "GET /css/Style.css HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [22/Mar/2019:15:52:58 +0900] "POST /testgame/TitleAction.action HTTP/1.1" 200 2775
0:0:0:0:0:0:0:1 - - [22/Mar/2019:15:52:58 +0900] "GET /testgame/WebContent/css/Style.css HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Mar/2019:16:49:40 +0900] "POST /testgame/TitleAction.action;jsessionid=F71702652AFBE9752D35F4676176CD6A HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/Mar/2019:16:49:40 +0900] "POST /testgame/TitleAction.action;jsessionid=F71702652AFBE9752D35F4676176CD6A HTTP/1.1" 200 28906
